Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
1323.6794593334198	42	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0005202556	0.0005202556	-0.4968535	0.3678217	0.7265823	0.5659326	0.5695117	30049	1292107
1356.2164795398712	43	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0005818535	0.0005818535	-0.54245305	0.36885667	0.68583906	0.5493399	0.61103696	30049	1322156
1391.2428877353668	44	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00039614865	0.00039614865	-0.5432463	0.29835963	0.64341325	0.54508084	0.6075877	30049	1352205
1423.2971594333649	45	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0002894895	0.0002894895	-0.59311104	0.25020656	0.58085865	0.50076354	0.65119684	30049	1382254
1456.809755563736	46	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0002788033	0.0002788033	-0.603167	0.2737435	0.5310174	0.61850005	0.6562688	30049	1412303
1488.8238370418549	47	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0002571957	0.0002571957	-0.61812985	0.29404438	0.51319206	0.7459523	0.6694491	30049	1442352
1520.782262802124	48	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0001708381	0.0001708381	-0.6437998	0.21208008	0.34884602	0.60965043	0.67868435	30049	1472401
1553.5064594745636	49	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0004031254	0.0004031254	-0.6300311	0.3714974	0.57179713	0.44798356	0.68721086	30049	1502450
1586.3737709522247	50	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00108377	0.00108377	-0.45217186	0.6077053	0.90865076	0.27238348	0.54303694	30049	1532499
1619.920274734497	51	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0015439034	0.0015439034	-0.3132174	0.5335676	0.96704924	0.26499936	0.4099223	30049	1562548
1651.517938375473	52	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0021250607	0.0021250607	-0.22606039	0.57982063	1.1007605	0.25078192	0.33613646	30049	1592597
1687.1003408432007	53	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0021582646	0.0021582646	-0.2683281	0.68080044	1.0258288	0.17701651	0.370911	30049	1622646
1721.9003422260284	54	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.002225598	0.002225598	-0.13188761	0.38229242	1.0266485	0.17276189	0.23455244	30049	1652695
1754.5292370319366	55	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0018392648	0.0018392648	-0.21058935	0.47680187	1.0140157	0.15809411	0.31199092	30049	1682744
1788.0477058887482	56	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0017715646	0.0017715646	-0.20982096	0.47901818	0.99406475	0.12659286	0.30922744	30049	1712793
1819.7006940841675	57	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0019325137	0.0019325137	-0.18837616	0.44739512	1.0329951	0.2276235	0.2916757	30049	1742842
1855.9882435798645	58	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0016515817	0.0016515817	-0.26827773	0.5308719	0.95916367	0.20647681	0.36419412	30049	1772891
1889.0106949806213	59	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0013936759	0.0013936759	-0.2727126	0.45095134	0.9952769	0.21964367	0.3722403	30049	1802940
1924.2510538101196	60	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.001410685	0.001410685	-0.3246156	0.52396154	0.91090053	0.22880231	0.41570562	30049	1832989
1957.3670852184296	61	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0012027788	0.0012027788	-0.32796055	0.4693792	0.9399749	0.3055788	0.42195803	30049	1863038
1990.902199268341	62	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0010230427	0.0010230427	-0.42545095	0.5689002	0.84614193	0.23502564	0.51006514	30049	1893087
2027.238273859024	63	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0010916914	0.0010916914	-0.3856729	0.49952683	0.86505115	0.3244362	0.472178	30049	1923136
2058.979104042053	64	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0011862821	0.0011862821	-0.42810148	0.53516626	0.89384747	0.33167124	0.5174862	30049	1953185
2095.1247775554657	65	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0007535785	0.0007535785	-0.4005685	0.39081135	0.8513602	0.40479612	0.4857045	30049	1983234
2128.2726740837097	66	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0007803371	0.0007803371	-0.44048843	0.4159423	0.8712954	0.4364401	0.52761793	30049	2013283
2161.134782552719	67	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0010279272	0.0010279272	-0.38423353	0.47064823	0.9900515	0.418555	0.48323867	30049	2043332
2194.70289850235	68	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0014563501	0.0014563501	-0.4081203	0.59332705	1.0158852	0.34361687	0.50970876	30049	2073381
2230.364959716797	69	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0016193648	0.0016193648	-0.31061047	0.5790566	1.0691477	0.34220004	0.41752523	30049	2103430
2262.6066370010376	70	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0014916356	0.0014916356	-0.39798385	0.620051	1.0326458	0.2717292	0.5012485	30049	2133479
2295.0635039806366	71	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0015210372	0.0015210372	-0.33938223	0.5467942	1.0214013	0.3296986	0.4415224	30049	2163528
2328.573808670044	72	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0015796035	0.0015796035	-0.27643502	0.46892077	0.989486	0.30366692	0.37538362	30049	2193577
2363.7765417099	73	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0011959815	0.0011959815	-0.35174564	0.5138704	0.9020053	0.24978787	0.44194615	30049	2223626
2400.313154697418	74	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.001366575	0.001366575	-0.40821463	0.6613437	1.0083431	0.32173586	0.50904894	30049	2253675
2432.433385848999	75	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0015212641	0.0015212641	-0.49600118	0.7928805	0.9154985	0.2619295	0.58755106	30049	2283724
2465.450251340866	76	0.13065326	1.3005663	14.0	0.0	151.0	0.0	0.00086525345	0.00086525345	0.0023458968	0.0023458968	-0.23653473	0.4243524	1.0180197	0.2339584	0.33833668	30049	2313773
2497.7108523845673	77	0.99497485	4.8385987	37.0	0.0	151.0	0.0	0.0065892376	0.0065892376	0.00802573	0.00802573	-0.44628286	0.66051143	0.92095685	0.28536388	0.5383785	30049	2343822
2531.093503475189	78	1.8442211	5.9462295	38.0	0.0	151.0	0.0	0.012213385	0.012213385	0.013444144	0.013444144	-0.37714612	0.59097725	0.9433859	0.2951744	0.4714847	30049	2373871
2566.1600756645203	79	3.2060301	8.316162	42.0	0.0	151.0	0.0	0.021231988	0.021231988	0.022582365	0.022582365	-0.3581893	0.5818342	0.9273137	0.3076888	0.45092064	30049	2403920
2601.2904863357544	80	4.40201	9.418745	56.0	0.0	151.0	0.0	0.029152384	0.029152384	0.030364495	0.030364495	-0.38029745	0.5891455	0.93936056	0.27496636	0.4742335	30049	2433969
2634.1507058143616	81	7.7487435	12.554091	50.0	0.0	151.0	0.0	0.051316183	0.051316183	0.052809197	0.052809197	-0.3498544	0.51907957	0.96437234	0.24228808	0.44629163	30049	2464018
2668.159366130829	82	14.844221	15.653948	56.0	0.0	151.0	0.0	0.0983061	0.0983061	0.099781685	0.099781685	-0.26338106	0.42468306	1.0673608	0.25596243	0.37011713	30049	2494067
2704.773944377899	83	17.442211	16.361967	56.0	0.0	151.0	0.0	0.11551133	0.11551133	0.116886705	0.116886705	-0.41087037	0.63924783	0.9867611	0.29636425	0.5095465	30049	2524116
2741.083696126938	84	16.050251	16.511835	61.0	0.0	151.0	0.0	0.10629305	0.10629305	0.10747682	0.10747682	-0.4025706	0.65827805	0.9712774	0.25839293	0.49969834	30049	2554165
2774.7293467521667	85	14.115578	16.43876	54.0	0.0	151.0	0.0	0.09348065	0.09348065	0.094389595	0.094389595	-0.44092706	0.4910201	0.89470136	0.24853583	0.5303972	30049	2584214
2811.450334072113	86	11.552764	15.146387	61.0	0.0	151.0	0.0	0.07650837	0.07650837	0.07741155	0.07741155	-0.46505967	0.5505814	0.9009652	0.30657443	0.5551562	30049	2614263
2844.7250378131866	87	11.231155	15.336653	58.0	0.0	151.0	0.0	0.07437851	0.07437851	0.075199135	0.075199135	-0.47471607	0.5088788	0.7932568	0.35199663	0.5540418	30049	2644312
2881.3632090091705	88	15.59799	16.38234	57.0	0.0	151.0	0.0	0.10329795	0.10329795	0.10409566	0.10409566	-0.52230537	0.48329476	0.76808155	0.33816054	0.59911346	30049	2674361
2913.132473230362	89	18.819096	17.256489	55.0	0.0	151.0	0.0	0.12462977	0.12462977	0.1253229	0.1253229	-0.4955737	0.5607104	0.772181	0.4208288	0.5727918	30049	2704410
2949.0278391838074	90	23.015076	16.706896	57.0	0.0	151.0	0.0	0.15241772	0.15241772	0.15315929	0.15315929	-0.592743	0.61500615	0.802251	0.44119608	0.67296803	30049	2734459
2983.0581839084625	91	28.532663	16.728928	60.0	0.0	151.0	0.0	0.18895803	0.18895803	0.18971366	0.18971366	-0.44271275	0.45311415	0.79171175	0.39070156	0.52188396	30049	2764508
3016.8716385364532	92	28.572865	16.43698	61.0	0.0	151.0	0.0	0.18922427	0.18922427	0.18990071	0.18990071	-0.45262736	0.47194526	0.7244253	0.36609095	0.5250699	30049	2794557
3051.383697271347	93	22.929647	16.912281	72.0	0.0	151.0	0.0	0.15185198	0.15185198	0.15224245	0.15224245	-0.54961884	0.4496021	0.67551696	0.4267219	0.6171706	30049	2824606
3084.7530438899994	94	23.668343	16.934711	57.0	0.0	151.0	0.0	0.15674399	0.15674399	0.15717632	0.15717632	-0.5855694	0.31375808	0.6787232	0.3693642	0.65344167	30049	2854655
3119.219300031662	95	20.38191	16.351505	55.0	0.0	151.0	0.0	0.13497953	0.13497953	0.13535364	0.13535364	-0.56349933	0.4210184	0.60803705	0.38716948	0.624303	30049	2884704
3153.3840370178223	96	18.100502	16.884472	56.0	0.0	151.0	0.0	0.11987088	0.11987088	0.12025347	0.12025347	-0.48781723	0.3020601	0.63907254	0.6193738	0.5517245	30049	2914753
3186.5147891044617	97	10.959799	13.757716	50.0	0.0	151.0	0.0	0.07258145	0.07258145	0.07280418	0.07280418	-0.6262132	0.25671124	0.3103674	0.32840857	0.6572499	30049	2944802
3219.3616802692413	98	7.829146	12.490034	49.0	0.0	151.0	0.0	0.051848646	0.051848646	0.051950842	0.051950842	-0.6631145	0.14532109	0.20216316	0.4169423	0.6833308	30049	2974851
3243.4534001350403	99	5.2512565	10.106826	43.0	0.0	151.0	0.0	0.03477653	0.03477653	0.03477525	0.03477525	-0.70247674	0.11470935	0.027185688	0.040353958	0.7051953	30049	3004900
