Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
1864.6402246952057	75	0.7035176	3.4448328	24.0	0.0	151.0	0.0	0.0046590567	0.0046590567	0.0046590567	0.0046590567	30049	2283724
1890.512359380722	76	1.3417085	6.187507	47.0	0.0	151.0	0.0	0.008885487	0.008885487	0.008885487	0.008885487	30049	2313773
1913.8270511627197	77	1.1105528	6.2234635	51.0	0.0	151.0	0.0	0.007354654	0.007354654	0.007354654	0.007354654	30049	2343822
1937.3434484004974	78	2.4271357	9.989112	60.0	0.0	151.0	0.0	0.016073747	0.016073747	0.016073747	0.016073747	30049	2373871
1960.4284994602203	79	1.798995	8.368389	80.0	0.0	151.0	0.0	0.011913874	0.011913874	0.011913874	0.011913874	30049	2403920
1983.418958902359	80	1.0552764	6.335825	62.0	0.0	151.0	0.0	0.0069885855	0.0069885855	0.0069885855	0.0069885855	30049	2433969
2006.8854110240936	81	1.6934674	8.848899	63.0	0.0	151.0	0.0	0.011215015	0.011215015	0.011215015	0.011215015	30049	2464018
2030.4368374347687	82	3.6482413	11.223489	67.0	0.0	151.0	0.0	0.024160538	0.024160538	0.024160538	0.024160538	30049	2494067
2055.1096091270447	83	4.1909547	12.320417	62.0	0.0	151.0	0.0	0.027754668	0.027754668	0.027754668	0.027754668	30049	2524116
2079.755280017853	84	5.080402	13.706309	75.0	0.0	151.0	0.0	0.033645045	0.033645045	0.033645045	0.033645045	30049	2554165
2102.9114768505096	85	5.673367	14.874984	76.0	0.0	151.0	0.0	0.037571967	0.037571967	0.037571967	0.037571967	30049	2584214
2125.806206226349	86	6.165829	15.543346	82.0	0.0	151.0	0.0	0.040833306	0.040833306	0.040833306	0.040833306	30049	2614263
2149.000698328018	87	4.6381907	13.456787	69.0	0.0	151.0	0.0	0.030716496	0.030716496	0.030716496	0.030716496	30049	2644312
2172.247724533081	88	5.261307	13.944328	69.0	0.0	151.0	0.0	0.03484309	0.03484309	0.03484309	0.03484309	30049	2674361
2195.174446105957	89	2.316583	8.944006	55.0	0.0	151.0	0.0	0.015341609	0.015341609	0.015341609	0.015341609	30049	2704410
2222.576069831848	90	4.7035174	13.774112	81.0	0.0	151.0	0.0	0.031149123	0.031149123	0.031149123	0.031149123	30049	2734459
2253.191560268402	91	3.045226	11.532474	80.0	0.0	151.0	0.0	0.02016706	0.02016706	0.02016706	0.02016706	30049	2764508
2277.0754129886627	92	3.6180904	12.608718	84.0	0.0	151.0	0.0	0.023960864	0.023960864	0.023960864	0.023960864	30049	2794557
2299.887111902237	93	2.2713568	11.031555	81.0	0.0	151.0	0.0	0.015042098	0.015042098	0.015042098	0.015042098	30049	2824606
2322.7878444194794	94	2.8492463	10.343225	58.0	0.0	151.0	0.0	0.01886918	0.01886918	0.01886918	0.01886918	30049	2854655
2346.0199773311615	95	2.7889447	12.011539	85.0	0.0	151.0	0.0	0.018469833	0.018469833	0.018469833	0.018469833	30049	2884704
2369.2926547527313	96	0.9296482	6.4046993	57.0	0.0	151.0	0.0	0.006156611	0.006156611	0.006156611	0.006156611	30049	2914753
2392.404067993164	97	2.7839196	12.7672825	84.0	0.0	151.0	0.0	0.018436553	0.018436553	0.018436553	0.018436553	30049	2944802
2415.8406834602356	98	3.0552764	11.97367	74.0	0.0	151.0	0.0	0.020233618	0.020233618	0.020233618	0.020233618	30049	2974851
2439.418148994446	99	1.1658292	7.160588	64.0	0.0	151.0	0.0	0.007720723	0.007720723	0.007720723	0.007720723	30049	3004900
